15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	
15	15.007	15.0141	15.0212	15.0284	15.0357	15.0431	15.0507	15.0584	15.0664	15.0746	15.083	15.0917	15.1008	15.1102	15.12	15.1302	15.1408	15.1519	15.1636	15.1759	15.1887	15.2022	15.2165	15.2315	15.2473	15.2639	15.2815	15.3001	15.3198	15.3406	15.3626	15.3859	15.4105	15.4367	15.4644	15.4938	15.5249	15.558	15.5932	15.6305	15.6702	15.7124	15.7573	15.8051	15.8561	15.9104	15.9683	16.0302	16.0964	16.1672	16.2431	16.3245	16.4119	16.5061	16.6076	16.7173	16.8362	16.9653	17.1061	17.26	17.4291	17.6156	17.8224	18.0533	18.3126	18.6063	18.9421	19.3302	19.7844	20.3244	20.9781	21.7876	22.8187	24.1802	26.0664	28.8596	33.4255	42.19	64.7765	136.198	
15	15.0141	15.0282	15.0424	15.0568	15.0714	15.0862	15.1013	15.1168	15.1327	15.149	15.1659	15.1833	15.2014	15.2202	15.2397	15.2601	15.2814	15.3037	15.327	15.3515	15.3772	15.4042	15.4326	15.4626	15.4942	15.5275	15.5626	15.5998	15.6391	15.6806	15.7246	15.7711	15.8204	15.8726	15.928	15.9867	16.049	16.1151	16.1854	16.26	16.3393	16.4236	16.5133	16.6089	16.7107	16.8192	16.9349	17.0586	17.1907	17.3322	17.4837	17.6462	17.8209	18.0088	18.2115	18.4305	18.6678	18.9255	19.2063	19.5133	19.8504	20.2221	20.6343	21.0939	21.61	22.1941	22.8612	23.6312	24.5313	25.599	26.8882	28.479	30.4946	33.136	36.7513	41.995	50.2318	64.6786	93.4852	143.454	
15	15.0211	15.0423	15.0636	15.0851	15.1069	15.1291	15.1518	15.175	15.1988	15.2232	15.2485	15.2746	15.3017	15.3298	15.3591	15.3896	15.4215	15.4549	15.4898	15.5265	15.565	15.6055	15.6481	15.693	15.7403	15.7902	15.8429	15.8985	15.9574	16.0196	16.0854	16.1551	16.229	16.3072	16.3901	16.4781	16.5714	16.6704	16.7756	16.8873	17.0061	17.1324	17.2668	17.4098	17.5622	17.7247	17.8981	18.0831	18.281	18.4927	18.7194	18.9626	19.2239	19.5051	19.8082	20.1357	20.4903	20.8754	21.2948	21.7533	22.2564	22.8109	23.4251	24.1096	24.8774	25.7452	26.7348	27.875	29.2044	30.7764	32.6666	34.9853	37.8998	41.6739	46.7458	53.8846	64.5155	81.3343	108.688	146.479	
15	15.0281	15.0562	15.0846	15.1133	15.1423	15.1719	15.202	15.2329	15.2645	15.2971	15.3307	15.3655	15.4015	15.439	15.478	15.5186	15.561	15.6054	15.6519	15.7007	15.752	15.8059	15.8625	15.9223	15.9852	16.0516	16.1218	16.1958	16.2741	16.3569	16.4446	16.5373	16.6356	16.7397	16.85	16.9671	17.0912	17.223	17.3629	17.5116	17.6696	17.8376	18.0164	18.2067	18.4094	18.6254	18.8559	19.1021	19.3651	19.6464	19.9478	20.271	20.6181	20.9916	21.3941	21.8287	22.2993	22.8101	23.3661	23.9735	24.6396	25.3731	26.1849	27.0884	28.1005	29.2425	30.5421	32.0355	33.7708	35.8142	38.2573	41.2318	44.9316	49.6513	55.8543	64.2877	76.1611	93.2886	117.539	148.212	
15	15.035	15.0701	15.1055	15.1413	15.1775	15.2143	15.2519	15.2904	15.3299	15.3705	15.4125	15.4558	15.5008	15.5475	15.596	15.6467	15.6997	15.755	15.813	15.8739	15.9378	16.005	16.0757	16.1501	16.2286	16.3115	16.3989	16.4913	16.5889	16.6922	16.8014	16.9171	17.0396	17.1694	17.307	17.4529	17.6077	17.772	17.9464	18.1317	18.3287	18.5381	18.7608	18.998	19.2505	19.5198	19.8069	20.1135	20.441	20.7914	21.1665	21.5688	22.0007	22.4652	22.9657	23.5059	24.0905	24.7247	25.4147	26.1678	26.9929	27.9007	28.9041	30.0193	31.2662	32.6703	34.264	36.0892	38.2018	40.6763	43.6151	47.1612	51.5186	56.9842	63.996	73.1978	85.4937	101.955	123.208	149.256	
15	15.0419	15.0839	15.1263	15.169	15.2124	15.2565	15.3015	15.3475	15.3948	15.4434	15.4935	15.5454	15.5992	15.6551	15.7132	15.7739	15.8372	15.9034	15.9729	16.0457	16.1221	16.2025	16.2871	16.3762	16.4701	16.5692	16.6739	16.7844	16.9012	17.0247	17.1554	17.2938	17.4404	17.5956	17.7602	17.9348	18.1199	18.3164	18.525	18.7467	18.9822	19.2326	19.4989	19.7824	20.0843	20.4061	20.7493	21.1155	21.5068	21.9253	22.3732	22.8534	23.3688	23.9229	24.5196	25.1634	25.8597	26.6146	27.4352	28.3302	29.3096	30.3859	31.5738	32.8918	34.3625	36.0144	37.8835	40.0164	42.4733	45.3342	48.7062	52.7349	57.6206	63.641	71.1789	80.7454	92.9601	108.391	127.112	149.816	
15	15.0487	15.0976	15.1468	15.1965	15.247	15.2982	15.3505	15.4041	15.459	15.5155	15.5739	15.6342	15.6967	15.7617	15.8293	15.8998	15.9734	16.0505	16.1312	16.2158	16.3047	16.3982	16.4965	16.6001	16.7094	16.8246	16.9462	17.0747	17.2105	17.3541	17.5061	17.6669	17.8373	18.0178	18.2091	18.4119	18.6271	18.8555	19.0979	19.3554	19.6291	19.92	20.2294	20.5587	20.9093	21.2829	21.6814	22.1065	22.5606	23.0461	23.5656	24.1224	24.7197	25.3616	26.0526	26.7977	27.603	28.4753	29.4228	30.4551	31.5835	32.8216	34.186	35.6968	37.3787	39.2624	41.3866	43.8004	46.5667	49.767	53.5084	57.9317	63.2238	69.6304	77.4672	87.1157	98.973	113.302	129.949	150	
15	15.0555	15.1111	15.1671	15.2238	15.2811	15.3395	15.3991	15.46	15.5225	15.5869	15.6533	15.722	15.7932	15.8671	15.9441	16.0243	16.1082	16.1959	16.2877	16.3841	16.4853	16.5917	16.7036	16.8216	16.9459	17.077	17.2155	17.3617	17.5163	17.6798	17.8527	18.0358	18.2297	18.4351	18.6528	18.8836	19.1284	19.3883	19.6641	19.957	20.2683	20.5992	20.951	21.3255	21.7241	22.1488	22.6016	23.0846	23.6004	24.1517	24.7415	25.3733	26.0509	26.7786	27.5615	28.4053	29.3165	30.3027	31.3729	32.5374	33.8087	35.2014	36.7334	38.426	40.3055	42.4041	44.7618	47.4288	50.4685	53.9612	58.0098	62.7456	68.3355	74.9879	82.9518	92.4984	103.866	117.141	132.096	149.887	
15	15.0621	15.1244	15.1872	15.2506	15.3149	15.3803	15.447	15.5152	15.5853	15.6574	15.7317	15.8086	15.8884	15.9712	16.0574	16.1473	16.2412	16.3394	16.4423	16.5502	16.6636	16.7827	16.9081	17.0402	17.1794	17.3263	17.4813	17.6451	17.8182	18.0012	18.1949	18.3999	18.6169	18.8469	19.0906	19.349	19.6231	19.914	20.2227	20.5505	20.8988	21.269	21.6627	22.0815	22.5273	23.0022	23.5083	24.0482	24.6245	25.2403	25.8988	26.6039	27.3598	28.1712	29.0435	29.983	30.9967	32.0929	33.281	34.5724	35.98	37.5196	39.2096	41.0726	43.1354	45.4311	48.0002	50.8926	54.1701	57.9099	62.2077	67.182	72.9774	79.7642	87.7317	97.0645	107.893	120.209	133.773	149.556	
