1	24.1558	24.1181	7373	4.99751e-06
2	14.6423	29.1789	7332	4.99678e-06
3	16.7721	50.1399	6994	4.15177e-06
4	14.7005	58.4662	6969	4.92888e-06
5	12.8717	64.0726	7204	4.9717e-06
6	11.2061	66.8467	6088	4.23116e-06
7	10.824	75.2562	7726	3.60458e-06
8	11.1485	88.6004	5951	4.32733e-06
9	9.76761	87.1682	5519	4.77693e-06
10	8.11004	80.3328	7003	4.48036e-06
11	7.56804	82.2264	6708	2.28933e-06
12	9.07299	107.429	4977	4.29942e-06
13	8.6559	110.589	4683	4.82728e-06
14	6.0545	81.0702	2886	4.68285e-06
15	6.65834	93.6536	2791	5.56562e-06
16	7.99705	114.547	2489	5.58522e-06
