1	112.815	112.627	7373	4.99751e-06
2	79.0142	157.505	7270	4.78367e-06
3	55.6232	166.224	7162	4.83563e-06
4	48.8345	194.52	6119	4.878e-06
5	47.6184	237.076	6520	4.94316e-06
6	47.1291	281.608	6482	4.59461e-06
7	30.4148	211.709	7441	4.83057e-06
8	40.2129	319.92	6217	4.70382e-06
9	37.5373	335.721	6153	4.99276e-06
10	35.9149	356.437	6128	4.88188e-06
11	33.7533	367.972	5919	5.08673e-06
12	33.3702	395.638	5989	5.13583e-06
13	32.1453	410.644	5809	1.67587e-06
14	35.5593	480.298	5947	5.01992e-06
15	24.5421	345.491	5627	4.67329e-06
16	43.416	623.054	5843	2.45812e-06
